Alameda	1
Albany	2
Belmont	3
Berkeley	4
Berkeley Hills	5
Bernal Heights	6
Campbell	7
Castro	8
Castro Valley	9
Chinatown	10
Corte Madera	11
Cow Hollow	12
Davis	13
Dogpatch	14
Downtown	15
Downtown Berkeley	16
Downtown Oakland	17
Duboce Triangle	18
East Solano Ave	19
Fairfax	20
Financial District	21
Fremont	22
Glen Park	23
Grand Lake	24
Ingleside Terraces	25
Inner Richmond	26
Inner Sunset	27
Japantown	28
Los Altos	29
Los Gatos	30
Lower Hills	31
Lower Nob Hill	32
Lower Pacific Heights	33
Marina	34
Meadowsweet	35
Mill Valley	36
Mission	37
Mission Bay	38
Monterey	39
Mountain View	40
Nob Hill	41
Noe Valley	42
North Oakland	43
Oakland	44
Orinda	45
Pacific Heights	46
Parkside	47
Pleasant Hill	48
Pleasanton	49
Potrero Hill	50
Presidio	51
Presidio Heights	52
Redding	53
Redwood City	54
San Mateo	55
San Rafael	56
San Ramon	57
Santa Cruz	58
Santa Rosa	59
Sebastopol	60
SoMa	61
Soquel	62
South Beach	63
Stockton	64
Sunnyvale	65
Tenderloin	66
The Haight	67
Union Square	68
Walnut Creek	69
West Berkeley	70
West San Jose	71
Willow Glen	72
