2	Abundant Heaven	2	Yes			https://www.abundant-heaven.com/		Campbell	7	South Bay	2	Campbell	5	621 East Campbell Avenue Suite #7, Santa Clara County Campbell, CA	https://www.yelp.com/biz/abundant-heaven-traditional-chinese-medicine-campbell	(408) 628-1888	No	Info@abundant-heaven.com	Acupuncture, Cupping, Chinese Herbal Medicine, CranioSacral Theraphy, Qi Gong, Cosmpetic Acupuncture	
3	Acupuncture & Health Center	3	Yes	No Response		http://www.acupuncturehealth.org/		Oakland	44	East Bay	4	Oakland	16	400 29th St, Suite 317  Oakland, CA 94609	https://www.yelp.com/biz/acupuncture-and-health-center-oakland-3	510.612.3150	Yes	info@acupuncturehealth.org	Traditional Chinese Medicine, BioPhoton Theraphy, The Feldenkrais Method, Anat Baniel Method, Eating for Health - Education and Coaching	
4	Acupuncture Hive	4	Yes		9 Jul 2018	http://www.acupuncturehive.com/		Parkside	47	San Francisco	1	San Francisco	22	1533 Taraval Street, San Francisco, CA 94116	https://www.yelp.com/biz/acupuncture-hive-san-francisco	415 988 5157	No	info@acupuncturehive.com	Acupuncture, Herbal Consultation	
5	Acupuncture Mama	5	Yes	No Response	9 Jul 2018	www.acupuncturemama.com		Santa Rosa	59	North Bay	3	Santa Rosa	28	4730 Hoen Avenue Suite A, Santa Rosa, CA 95405	https://www.yelp.com/biz/acupuncture-mama-santa-rosa	(707) 303-7200	No	annette@acupuncturemama.com	Acupuncture, Chinese Herbal Medicine, Cupping, Moxibustion	
6	Acupuncture Professionals	6	Yes	No Response		http://acupunctureprofessionals.com/		SoMa	61	San Francisco	1	San Francisco	22	862 Folsom Street San Francisco, CA 94107	https://www.yelp.com/biz/chris-o-donnell-lac-acupuncture-professionals-san-francisco	(415) 412-8841	Yes	chris@acupunctureprofessionals.com	Acupuncture, Tui-Na & Herbal Consultation 	
7	Ahimsa Wellness	7		No Response		https://www.ahimsawellness.org/		Walnut Creek	69	East Bay	4	Walnut Creek	33	1844 San Miguel Drive, Suite 308A Walnut Creek CA 94596	https://www.yelp.com/biz/ahimsa-wellness-walnut-creek	(925) 322-1313	Yes	info@ahimsawellness.org	Acupuncture, Chiropractic, Ayurveda	
8	Alameda Acupuncture	8	No			http://www.alamedaacupuncture.com/		Alameda	1	East Bay	4	Alameda	1	2258 Santa Clara Avenue, Alameda, CA	https://www.yelp.com/biz/alameda-acupuncture-alameda-3	(510) 814-6900	No		Acupuncture	
9	Alameda Community Acupuncture	9		No Response		http://www.alamedacommunityacu.com/		Alameda	1	East Bay	4	Alameda	1	1716 Lincoln Avenue, Alameda, CA	https://www.yelp.com/biz/alameda-community-acupuncture-alameda	510-255-0880	No	info@alamedacommunityacu.com	Acupuncture, Qi Gong Healing Session	
10	Alison Hunter Acupuncture	10		Verified		www.dralisonhunter.com		West San Jose	71	South Bay	2	Los Gatos	12	14127 Capri Dr Suite 5A, Los Gatos CA 95032	https://www.yelp.com/biz/alison-hunter-lac-omd-faborm-san-jose	831 239-2623	Yes	alisonhunterlac@gmail.com	Acupuncture, Chinese Herbs and Formula, Diagnostic Testing, Reproductive Organ Massage, Labor Induction	
11	Allergy Relief Sonoma	11		No Response		http://allergyreliefsonoma.com/		Sebastopol	60	North Bay	3	Sebastapol	29	1020 Gravenstein Highway North, World Map Sebastopol, CA	https://www.yelp.com/biz/allergy-relief-center-of-sonoma-county-sebastopol	(855) 488-1800	Yes	info@allergyreliefsonoma.com	Functional Medicine, Acupuncture, Chinese Medicine, Acutron Needle-less Microcurrent Acupunture, Neuro Emotional Technique, Laser Allergy Desensitization Theraphy, Nutritional Counseling	
12	Allison Crawford Acupuncture	12	No	No Response		http://allisoncrawford.com/		SoMa	61	San Francisco	1	San Francisco	22	SOMA Health Center 862 Folsom St.  San Francisco, Ca  94107	https://www.yelp.com/biz/allison-crawford-san-francisco-2	415 819 5352	Yes		Acupuncture	
14	Anchor Acupuncture & Wellness	14		Verified		http://anchoracu.com/		Financial District	21	San Francisco	1	San Francisco	22	22 Battery Street, 8th Floor, Suite 802 San Francisco, CA 94111	https://www.yelp.com/biz/anchor-acupuncture-and-wellness-san-francisco	415-855-3112	No	amanda@anchoracu.com	Acupuncture, Acupuncture for Fertility, Chinese Herbal Medicine, Cupping, Abdominal Massage (Chi Nei Tsang), Moxibustion	
15	Anna Gold Acupuncture	15		No Response		http://annagoldacupuncture.com/		Union Square	68	San Francisco	1	San Francisco	22	500 Sutter Street #908, Nob Hill San Francisco, CA	https://www.yelp.com/biz/anna-gold-acupuncture-san-francisco	415.891.9993	Yes	info@annagoldacupuncture.com	Acupuncture, Constitutional Facial Acupuncture Rejuvenation, Chinese Herbal Medicine, Fertility Acupuncture and IVF support, Pre and Post Natal Care	
16	Annie Wang Acupuncture (Belmont)	16		Doesn't Want to be Included		http://www.anniewanglac.com/		Belmont	3	South Bay	2	Belmont	3	1601 El Camino Real, Suite 303, Belmont, CA 94002	https://www.yelp.com/biz/annie-wang-acupuncture-belmont	(650) 468-3636	No	appts@anniewanglac.com	Fertility Acupuncture, Pregnancy Acupuncture, Acupuncture for Stress, Male Fertility Acupuncture, Acupuncture for Pain Relief	
17	Annie Wang Acupuncture (Los Altos)	17		Doesn't Want to be Included		http://www.anniewanglac.com/		Los Altos	29	South Bay	2	Los Altos	11	895 Sherwood Avenue, Suite 101, Los Altos, CA 94022	https://www.yelp.com/biz/annie-wang-acupuncture-los-altos-3	650-468-3636	No	appts@anniewanglac.com	Fertility Acupuncture, Pregnancy Acupuncture, Acupuncture for Stress, Male Fertility Acupuncture, Acupuncture for Pain Relief	
