Abundant Heaven	https://www.abundant-heaven.com/	621 East Campbell Avenue, Santa Clara County Campbell, CA	https://www.yelp.com/biz/abundant-heaven-traditional-chinese-medicine-campbell	(408) 628-1805	Jessica Giese Gardner	L.Ac. MTCM	Yes	General Acupuncture				http://sf.cityvoter.com/best/acupuncture/beauty-and-wellness/bay-area		https://www.abundant-heaven.com/jessica-giese-gardner-l-ac	Pain Management, Stress Management, Women's Health, Chronic Illness	Personal Bio	2	2	
Abundant Heaven	https://www.abundant-heaven.com/				Michael Brown	L.Ac. MTCM								https://www.abundant-heaven.com/michael-e-brown-l-ac	General Acupuncture	General Practice	3	2	
Acupuncture & Health Center	http://www.acupuncturehealth.org/	400 29th St, Suite 317  Oakland, CA 94609	https://www.yelp.com/biz/acupuncture-and-health-center-oakland-3	510.612.3150	Jumbe Allen	L.Ac.		stress-related disorders, acute and chronic pain, neurological dysfunction, complementary cancer care, development of children with special needs				https://www.expertise.com/ca/san-francisco/acupuncture		http://www.acupuncturehealth.org/w-jumbe-allen/	General Acupuncture	Personal Bio	4	3	
Acupuncture Hive	http://www.acupuncturehive.com/	1533 Taraval Street, San Francisco, CA 94116	https://www.yelp.com/biz/acupuncture-hive-san-francisco	415 988 5157	Eva Larson	MSTOM - Masters of Science in Traditional Chinese Medicine						https://www.yelp.com/search?find_desc=Acupuncture&find_loc=San+Francisco,+CA		http://www.acupuncturehive.com/bio/	Pain management, women's health, skin disorders and mental-emotional health.	Personal Bio	5	4	
Acupuncture Hive	http://www.acupuncturehive.com/				Heather Bird	MTCM		women’s health, pediatrics, orthopedics, wellness maintenance   reproductive and hormonal health at every stage of life, including adolescence, labor and menopause. physical pain and injuries, digestive imbalances, depression/anxiety, and immune disorders						http://www.acupuncturehive.com/bio/	women’s health, pediatrics, orthopedics, wellness maintenance   reproductive and hormonal health at every stage of life, including adolescence, labor and menopause. physical pain and injuries, digestive imbalances, depression/anxiety, and immune disorders	Personal Bio	6	4	
Acupuncture Mama	www.acupuncturemama.com	4730 Hoen Avenue Suite A,
 Santa Rosa, CA 95405	https://www.yelp.com/biz/acupuncture-mama-santa-rosa	(707) 303-7200	Annette Romios	L.Ac. (Chinese Medicine)								http://acupuncturemama.com/about-us/	Fertility & Pregnancy, Menstrual Disorders, Hormonal Imbalances & Menopause, Stress, Anxiety & Insomnia, Migraines & Headaches	Personal Bio	7	5	
Acupuncture Mama	www.acupuncturemama.com				Gidon Levenbach	L.Ac. (Chinese Medicine)								http://acupuncturemama.com/about-us/	Fertility & Pregnancy, Menstrual Disorders, Hormonal Imbalances & Menopause, Stress, Anxiety & Insomnia, Migraines & Headaches	Personal Bio	8	5	
Acupuncture Professionals	http://acupunctureprofessionals.com/	862 Folsom Street San Francisco, CA 94107	https://www.yelp.com/biz/chris-o-donnell-lac-acupuncture-professionals-san-francisco	(415) 412-8841	Chris O'Donnell	L.Ac., QME		Orthopedics & Sport Medicine	look at site		Yes	https://www.expertise.com/ca/san-francisco/acupuncture		http://acupunctureprofessionals.com/bio/	Pain and Injury	Personal Bio	9	6	
Ahimsa Wellness	https://www.ahimsawellness.org/	1844 San Miguel Drive, Suite 308A Walnut Creek CA 94596	https://www.yelp.com/biz/ahimsa-wellness-walnut-creek	(925) 322-1313	Katie Ngan	DC, L.Ac.	Yes					http://sf.cityvoter.com/best/acupuncture/beauty-and-wellness/bay-area		https://www.ahimsawellness.org/about/	General Acupuncture	General Practice	10	7	
Alameda Acupuncture	http://www.alamedaacupuncture.com/	2258 Santa Clara Avenue, Alameda, CA	https://www.yelp.com/biz/alameda-acupuncture-alameda-3	(510) 814-6900	John Nieters	L.Ac. DAOM		Sports Medicine, Fertility, Pregnancy, Menopause, diabetes, Autoimmune, Pain & Injury, Facial Rejuvenation  		https://alamedaacupuncture.com/what-is-acupuncture/what-we-treat/		http://sf.cityvoter.com/best/acupuncture/beauty-and-wellness/bay-area		https://alamedaacupuncture.com/john-nieters/	Chronic and degenerative health conditions	Personal Bio	11	8	
Alameda Acupuncture	http://www.alamedaacupuncture.com/				Jenny Nieters	L.Ac.								https://alamedaacupuncture.com/jenny-nieters/	Orthopedic injuries, rehabilitation and performance enhancement	Personal Bio	12	8	
Alameda Community Acupuncture	http://www.alamedacommunityacu.com/	1716 Lincoln Avenue, Alameda, CA	https://www.yelp.com/biz/alameda-community-acupuncture-alameda	510-255-0880	Donna Chang	L.Ac. (MSOM)						http://sf.cityvoter.com/best/acupuncture/beauty-and-wellness/bay-area		http://www.alamedacommunityacu.com/who-we-are/	Holistic vision care, nutrition, women's health, pain reduction, digestive health, immunity and stress management.	Personal Bio	13	9	
Alameda Community Acupuncture	http://www.alamedacommunityacu.com/				Mandy Rosenberg	L.Ac. (MSOM) 								http://www.alamedacommunityacu.com/who-we-are/	General Acupuncture	General Practice	14	9	
Alameda Community Acupuncture	http://www.alamedacommunityacu.com/				Ana Simono	L.Ac. (MSOM)  								http://www.alamedacommunityacu.com/who-we-are/	stress management, fertility, insomnia, internal medicine and pain management	Personal Bio	15	9	
Alameda Community Acupuncture	http://www.alamedacommunityacu.com/				Eun Kim	L.Ac. (MSOM)								http://www.alamedacommunityacu.com/who-we-are/	General Acupuncture	General Practice	16	9	
Alison Hunter Acupuncture	www.dralisonhunter.com	1101 S. Winchester Blvd, P-297
 San Jose, CA 95128	https://www.yelp.com/biz/alison-hunter-lac-omd-faborm-san-jose	831 239-2623	Alison Hunter	L.Ac. OMD, FABORM								http://www.dralisonhunter.com/san-jose-acupuncturist-dr-alison-hunter/	Reproductive medicine, pregnancy and women’s health	Personal Bio	17	10	
