Jessica 	Giese Gardner		2	Verified	Yes	L.Ac., MTCM	F	https://www.abundant-heaven.com/jessica-giese-gardner-l-ac	Jessica Giese- Gardner is a licensed acupunturist whose experienced with healing over a decade. She completed a 4 years Master program, a 2 year Apprenticeship, and continue studying this day. She has a life-long fascination with healing arts, exploring how different modalities empower people in realizing their goals and dreams. Her own personal health challenges and the diseases that plagued someone closest to her heart that gives her the inspiration to search and discover what creates health from the inside out. This brings a big factor to Jessica in pursuing her journey to study the chinese medicine and this journey continues today.	Pain Management	18	Neurological	16	Women's Health	28	Pain Management, Stress Management, Women's Health, Chronic Illness	Personal Bio	Yes	General Acupuncture			Ranges per time/procedures. Average: $150	Average $100		Yes	Blue Shield of California, Sutter UMR (HealthSmart), and Federal Blue Cross Blue Shield of California	9,26,8,15	Practice	jessica@abundant-heaven.com	https://www.yelp.com/biz/abundant-heaven-traditional-chinese-medicine-campbell	Five Branches University	7	UC Santa Cruz; BA w Communication studies major	April 02, 2013			Women's network alliance. American organization for Bodywork therapies of Asia (AOBTA)	CA	Yes	Yes		**added license in chinese medical massage **not yet license in craniosacral
Michael	Brown		3	Verified	Yes	L.Ac., MTCM	M	https://www.abundant-heaven.com/michael-e-brown-l-ac	Michael E. Brown is a licensed acupunturist that primary help patients using acupuncuture, cupping, medical massage and Chinese herbal medicine. He integrates the specialized tools of acupuncture and herbal medicine with Western medical science and sports medicine to provide patients with workable and effective treatment plans. Michael's desire and satisfaction with helping people and the commnunity led him to practice medicine. He started his journey with medicine during highschool as an apprentice to his highschool athletic trainer and later discovered acupunture and chinese medicine in college at UCLA. He studied acupuncture at AIMC in Berkeley for two years, then completed a master's degree at Five Branches University in Santa Cruz. He will have his Doctorate in Acupuncture and Chinese Medicine (DACM) completed by December 2018.	Mental Health	15	Pain Management	18	Addiction	1	General Acupuncture	General Practice					Ranges per time/procedures. Average: $150	Average $100		Yes	Blue Shield of California, Sutter UMR (HealthSmart), and Federal Blue Cross Blue Shield of California	9,26,8,15	Practice	Info@abundant-heaven.com		Five Branches University	7	University of California, Los Angeles. BA in design media arts	April 02, 2013			BNI- business network international; American Indian Science and Engineering Society	CA	Yes			
Jumbe	Allen		4		No	L.Ac.	M	http://www.acupuncturehealth.org/w-jumbe-allen/	W. Jumbé Allen is a diplomat with NCCAOM and a licensed acupuncturist since 1990 with California State Acupuncture Board. He went to China for a six months internship at the affiliated hospital of the Heilinjiang College of Traditional Chinese Medicine in Harbin. Jumbé established his first private practice in Dr. Arthur Coleman’s medical center in San Francisco and worked at the Bay View Hunter’s Point Community Clinic. He is a co-founder of Pacific Acupuncture Associates, which provided acupuncture for homeless shelters, non- profit mental health and other community service centers, and prison inmates in San Francisco.	General Acupuncture	11		#N/A		#N/A	General Acupuncture	Personal Bio		stress-related disorders, acute and chronic pain, neurological dysfunction, complementary cancer care, development of children with special needs			Does Not List	Does Not List		Doesn't Say		#N/A	Practice	JumbeAllen@acupuncturehealth.org	https://www.yelp.com/biz/w-jumb%C3%A9-allen-l-ac-san-francisco	San Francisco College of Acupuncture	16	Heilinjiang College of Traditional Chinese Medicine / Doctor of Oriental Medicine	July 13, 1990					Yes			
Eva	Larson		5		Yes	L.Ac., MSTOM	F	http://www.acupuncturehive.com/bio/	Eva Larson studied Traditional Chinese Medicine at Pacific College of Oriental Medicine in San Diego and graduated in 2007 with a Masters of Science in Traditional Chinese Medicine (MSTOM).Eva is a general practitioner who views each patient as an individual with a unique presentation of signs, symptoms, challenges and goals. She has a special interest in pain management, women's health, skin disorders, and mental-emotional health.She also offers private sessions for those who prefer additional privacy or more one on one attention.	Pain Management	18	Women's Health	28	Dermatological	6	Pain management, women's health, skin disorders and mental-emotional health.	Personal Bio					$50	$40	Yes	No	Super bill	25	Practice	info@acupuncturehive.com		Pacific College of Oriental Medicine	14	Masters of Science in Traditional Chinese Medicine	October 18, 2007				CA	Yes	Yes		
Heather 	Bird	1	6	No Response	Yes	MTCM	F	http://www.acupuncturehive.com/bio/	Heather Bird has been practicing acupuncture and herbal medicine in San Francisco since 2007. She holds a Masters Degree in Chinese Traditional Medicine from Five Branches University in Santa Cruzand has in-depth post-graduate training in women’s health, pediatrics, orthopedics, herbal formulation, and wellness maintenance through diet and lifestyle practices.She has experience assisting women with achieving reproductive and hormonal health at every stage of life, including adolescence, labor and menopause. Heather's clinical experience also includes the treatment of physical pain and injuries, digestive imbalances, depression/anxiety, and immune disorders.  	Women's Health	28	Pediatrics	19	Orthopedics	17	women’s health, pediatrics, orthopedics, wellness maintenance 	Personal Bio					$50	$40	Yes	No	Super bill	25	Practice	info@acupuncturehive.com	https://www.yelp.com/biz/heather-bird-san-francisco	Five Branches University	7	Masters Degree in Chinese Traditional Medicine	March 16, 2007				Both	Yes	Yes		
Annette	Romios	1	7	No Response	No	L.Ac.	F	http://acupuncturemama.com/about-us/	Annette Romios is a California licensed acupuncturist, herbalist, she also holds a Bachelor’s Degree in Psychology from the University of San Francisco. She graduated Summa Cum Laude with a Masters Degree from Emperor's College of Traditional Chinese Medicine in 2007. She Believes that her responsibility as a Traditional Chinese Medicine practitioner is to help patients achieve their goals by meeting them at their comfort level. She takes the time to get to know each patient and then design treatment plans that move them through their journey to better health. Like any other path in life, personal health is a practice.	Fertility	9	Pregnancy	22	Endocrine	7	Fertility & Pregnancy, Menstrual Disorders, Hormonal Imbalances & Menopause, Stress, Anxiety & Insomnia, Migraines & Headaches	Personal Bio					$145	$95	No	Doesn't Say		#N/A	Practice	annette@acupuncturemama.com	https://www.yelp.com/biz/acupuncture-mama-santa-rosa	Emperor’s College of Traditional Chinese Medicine	6	Masters Degree	October 18, 2007					Yes			
Gidon	Levenbach	1	8	No Response	No	L.Ac.	M	http://acupuncturemama.com/about-us/	Gidon Levenbach graduated from the Oregon College of Oriental Medicine in August 2007. His interest in Chinese Medicine began in 1995, when he completed a course in Acupressure Massage at the Acupressure Institute (Berkeley, California). He also teaches Qi Gong. He is committed to public health and providing service to those in need. He is an advocate of Chinese Medicine and its vast benefits. In his free time, Gidon surfs and plays cello	Fertility	9	Pregnancy	22	Endocrine	7	Fertility & Pregnancy, Menstrual Disorders, Hormonal Imbalances & Menopause, Stress, Anxiety & Insomnia, Migraines & Headaches	Personal Bio					$145	$95	No	Doesn't Say		#N/A	Practice	annette@acupuncturemama.com		Oregon College of Oriental Medicine	13	Beijing Hospital of Traditional Chinese Medicine	October 06, 2015					Yes			
Chris 	O'Donnell		9	No Response	Yes	L.Ac., QME	M	http://acupunctureprofessionals.com/bio/	Chris O’Donnell is a licensed acupuncturist and a specialist in the treatment of pain and injury. He uses acupuncture, Chinese herbal medicine and Tui-Na manual therapy to his patients. Chris is board certified by the National Board of Acupuncture Orthopedics (NBAO), the National Board of Internal Medicine for Acupuncturists (NBIMA). He has apprenticed under master herbalists in the United States and China, including renowned author Christopher Hobbs.	Sports Medicine	25	Pain Management	18	Injury	12	Sports Medicine, Pain, Injury	Personal Bio		Orthopedics & Sport Medicine	look at site		$140	$90	No	Yes	We are preferred “in-network” providers for most major insurance companies. We cannot accept Medi-Cal or Medicare at the moment.		Single Practitioner Location	chris@acupunctureprofessionals.com	https://www.yelp.com/biz/chris-o-donnell-lac-acupuncture-professionals-san-francisco	American College of Traditional Chinese Medicine	4	UC Santa Cruz BA Archeology	May 09, 2003					Yes			
Katie	Ngan		10	No Response	Yes	L.Ac., DC	F	https://www.ahimsawellness.org/about/	Katie is the only dually licensed Acupuncturist and Chiropractor also certified in Ayurveda in the Bay Area. She earned her undergraduate degree from UCLA and established a successful marketing career. She began a five-year mission to learn three different systems of medicine at the Southern California University of Health Sciences, where she graduated Summa Cum Laude from all programs and was Valedictorian of her acupuncture class. She draws upon her broad set of skills to treat patients more comprehensively. Katie believes every choice is an opportunity to nourish oneself. She enjoys cooking balanced meals using Ayurvedic principles and practicing yoga regularly	General Acupuncture	11		#N/A		#N/A	General Acupuncture	General Practice	Yes				$140	$90		Yes	Blue Shield
 Cigna
 UnitedHealthcare	10,9,29	Single Practitioner Location	info@ahimsawellness.org	https://www.yelp.com/biz/ahimsa-wellness-walnut-creek	Southern California University of Health Sciences	18	UCLA 	April 01, 2014					Yes			
John	Nieters		11	No Response	No	L.Ac., DAOM	M	https://alamedaacupuncture.com/john-nieters/	John Nieter  is known for treating chronic and degenerative health conditions known as “knotty” diseases in Chinese Medicine, He also trained in orthopedic injuries and fertility. He completed certifications in Gynecology and Internal Medicine at Zhejiang Chinese Medical University, in China. John also was with the first group of American acupuncturists to be certified in Integrated Diabetes Prevention and Treatment at the Xin Hua Hospital, China.	Chronic Illness	5	Orthopedics	17	Fertility	9	Chronic and degenerative health conditions, orthopedic injuries, and fertility	Personal Bio		Sports Medicine, Fertility, Pregnancy, Menopause, diabetes, Autoimmune, Pain & Injury, Facial Rejuvenation  		https://alamedaacupuncture.com/what-is-acupuncture/what-we-treat/	$250	$95		Doesn't Say		#N/A	Practice		https://www.yelp.com/biz/john-robert-nieters-lac-daom-alameda		#N/A	Zhejiang Chinese Medical University	May 03, 1999					Yes			
